,user_id,final_recommendations
0,1,"[856942, 1025641, 958046, 5577022, 1075074, 9655212, 878285, 1050310, 1055201, 1069575]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
1,7,"[1003188, 1052046, 1126899, 1072483, 1031833, 5592610, 1079023, 949836, 5591154, 5572738]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
2,8,"[840361, 940631, 1127624, 8181377, 917381, 967762, 893501, 858918, 868075, 918390]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
3,13,"[7168417, 951197, 943076, 862070, 898466, 893802, 9858920, 6554400, 12263180, 859075]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
4,16,"[1084551]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
5,17,"[899624, 845208, 962568, 995785, 862866, 1138854, 833351, 896085, 1022827, 849843]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
6,18,"[916122, 12754036, 880150, 832001, 961554, 951412, 1046262, 847270, 1116821, 995965]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
7,19,"[871756, 965766, 994928, 883404, 8090537, 1070015, 826249, 1094955, 5568378, 840361]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
8,20,"[1040842, 945611, 855557, 1123106, 1126899, 910109, 1058997, 821556, 889618, 953675]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
9,22,"[1104349, 995816, 1059347, 1122115, 1005274, 990656, 995645, 991874, 972445, 1070820]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
10,25,"[12949590, 1012284, 948509, 1135768, 5568378, 1101567, 1065593, 861272, 1041796, 862139]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
11,27,"[1019479, 1003836, 7409957, 1065669, 1031923, 1017982, 12673243, 918733, 1005861, 1077555]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
12,31,"[859427, 847982, 903325, 8290421, 1070820, 12385374, 907647, 1062128, 999730, 1110142]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
13,39,"[7433888, 1126899, 1130581, 1017772, 1127716, 1136257, 923789, 916050, 1048383, 957164]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
14,40,"[1028816, 1055504, 951412, 995785, 903325, 6034857, 1037863, 986947, 1039682, 1116821]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
15,42,"[1135460, 1112766, 990440, 976998, 1019011, 1076195, 897953, 1083840, 1031087, 1060673]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
16,43,"[], Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,,                            15927850]"
17,46,"[990797, 998119, 886395, 5568197, 889649, 845622, 1082212, 883932, 1115175, 894447]
Categories (5000, int64): [818980, 818981, 819063, 819255, ..., 15926844, 15926886, 15927403,
                           15927850]"
